#{"t_start": 1765821275.329814, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0.0,640,0.292126
0.0,640,0.537446
0.0,640,0.784273
0.0,640,3.423834
0.0,640,3.671362
0.0,640,3.918044
0.0,640,6.676371
0.0,640,6.923991
0.0,640,7.171102
0.502188,354,7.308858
0.0,640,9.988889
0.0,640,10.236809
0.0,640,10.482557
0.382656,439,13.258996
0.0,640,13.544959
0.0,640,13.795209
0.0,640,16.511124
0.0,640,16.755359
0.0,640,16.999697
0.0,640,19.754495
0.0,640,20.000732
0.0,640,20.243972
0.0,640,20.488541
0.0,640,23.097849
0.780625,156,23.158223
0.0,640,23.401276
0.0,640,23.647576
0.0,640,26.558496
0.0,640,26.813376
0.0,640,27.073462
0.0,640,29.856402
0.0,640,30.116237
0.0,640,30.363738
0.0,640,33.19012
0.0,640,33.435585
0.0,640,33.684353
0.0,640,36.435962
0.0,640,36.682141
0.0,640,36.929098
0.0,640,39.572385
0.0,640,39.831296
0.0,640,40.098988
0.0,640,40.361221
0.0,640,43.305629
0.0,640,43.591804
0.0,640,43.842797
0.0,640,46.708738
0.378437,442,46.879743
0.0,640,47.144519
0.0,640,50.067832
0.0,640,50.337305
0.0,640,50.579454
0.0,640,50.826077
0.0,640,53.6929
0.0,640,54.03133
0.0,640,54.291942
0.0,640,56.943795
0.0,640,57.197277
0.0,640,57.444079
0.0,640,60.143977
0.0,640,60.40391
0.0,640,60.699097
0.0,640,63.524753
0.0,640,63.782315
0.0,640,64.052723
0.0,640,67.102538
0.0,640,67.361115
0.0,640,67.614064
0.0,640,67.865413
0.0,640,70.719907
0.0,640,70.963694
0.0,640,71.243719
0.0,640,73.974014
0.0,640,74.221501
0.0,640,74.463107
0.0,640,77.04003
0.0,640,77.286323
0.339062,470,77.465395
0.0,640,80.082765
0.0,640,80.326329
0.0,640,80.571969
0.0,640,80.816527
0.0,640,83.397306
0.0,640,83.642989
0.0,640,83.882933
0.0,640,86.599718
0.0,640,86.845538
0.0,640,87.091486
0.0,640,89.92886
0.0,640,90.202408
0.0,640,90.463643
0.0,640,93.524824
0.0,640,93.772847
0.0,640,94.019053
0.0,640,96.975459
0.0,640,97.221094
0.0,640,97.484452
0.0,640,97.746491
0.0,640,100.536388
0.0,640,100.817032
0.0,640,101.067005
0.0,640,103.968291
0.0,640,104.227982
0.0,640,104.503744
0.0,640,107.548153
0.0,640,107.79789
0.0,640,108.041544
0.0,640,111.29293
0.0,640,111.541343
0.0,640,111.786972
0.0,640,114.70128
0.0,640,114.952529
0.0,640,115.203017
0.0,640,115.468554
0.0,640,118.583381
0.0,640,118.829436
0.0,640,119.110241
0.0,640,122.018239
0.0,640,122.266037
0.0,640,122.553483
0.0,640,125.335936
0.0,640,125.603496
0.0,640,125.873692
0.0,640,128.525438
0.0,640,128.766877
0.0,640,129.01346
0.0,640,131.644852
0.0,640,131.888477
0.0,640,132.129017
0.0,640,132.373556
0.0,640,135.221037
0.0,640,135.4635
0.0,640,135.708642
0.0,640,138.581805
0.0,640,138.825854
0.0,640,139.072478
0.0,640,141.969916
0.0,640,142.245079
0.0,640,142.512665
0.0,640,145.342274
0.0,640,145.593096
0.0,640,145.841388
0.0,640,148.806275
0.0,640,149.066873
0.0,640,149.31623
0.0,640,149.60617
0.0,640,152.568302
0.0,640,152.811064
0.0,640,153.058222
0.0,640,155.71964
0.0,640,155.960659
0.0,640,156.200688
0.0,640,158.861315
0.0,640,159.101286
0.0,640,159.345071
0.0,640,162.073699
0.0,640,162.324368
0.0,640,162.584216
0.0,640,165.586834
0.0,640,165.836273
0.0,640,166.085183
0.0,640,166.335638
0.0,640,169.366884
0.0,640,169.618602
0.0,640,169.887384
0.0,640,173.001545
0.0,640,173.252599
0.0,640,173.52023
0.0,640,176.335286
0.0,640,176.575736
0.0,640,176.814123
0.0,640,179.463424
0.0,640,179.708181
0.0,640,179.950575
0.0,640,182.586735
0.0,640,182.826278
0.0,640,183.065466
0.0,640,183.303506
0.0,640,186.03196
0.0,640,186.276124
0.0,640,186.517374
0.0,640,189.152583
0.0,640,189.392198
0.0,640,189.636507
0.0,640,192.380369
0.0,640,192.664689
0.0,640,192.927962
0.0,640,195.94052
0.0,640,196.190497
0.0,640,196.437199
0.0,640,199.459613
0.0,640,199.71055
0.0,640,199.990517
0.0,640,200.242722
0.0,640,203.592797
0.0,640,203.842806
0.0,640,204.098216
0.0,640,207.317016
0.0,640,207.596093
0.0,640,207.834575
0.0,640,210.508894
0.0,640,210.758686
0.0,640,211.015966
0.0,640,214.108243
0.0,640,214.376441
0.0,640,214.628352
0.0,640,217.881349
0.0,640,218.131807
0.0,640,218.379999
0.0,640,218.626889
0.0,640,221.683365
0.0,640,221.926718
0.0,640,222.172999
0.0,640,224.893972
0.0,640,225.140191
0.0,640,225.383802
0.0,640,228.071603
0.0,640,228.319047
0.0,640,228.586577
0.0,640,231.673125
0.0,640,231.947682
0.0,640,232.201726
0.0,640,235.004118
0.0,640,235.259967
0.0,640,235.526959
0.0,640,235.774172
0.0,640,238.545477
0.0,640,238.797602
0.0,640,239.048341
0.0,640,241.838998
0.0,640,242.079865
0.0,640,242.334927
0.0,640,245.146115
0.0,640,245.387265
0.0,640,245.629246
0.0,640,248.336296
0.0,640,248.574978
0.0,640,248.814734
0.0,640,251.582312
0.0,640,251.823328
0.0,640,252.060696
0.0,640,252.308871
0.33625,472,255.354197
0.0,640,255.618587
0.0,640,255.871583
0.0,640,258.988809
0.0,640,259.234618
0.0,640,259.478575
0.0,640,262.341758
0.175937,586,262.573278
0.0,640,262.853381
0.0,640,263.124637
0.0,640,266.195437
0.0,640,266.437903
0.0,640,266.685264
0.0,640,269.673004
0.0,640,269.916229
0.0,640,270.189917
0.0,640,272.956669
0.0,640,273.200421
0.0,640,273.449052
0.0,640,276.360102
0.0,640,276.616583
0.0,640,276.864175
0.0,640,279.55036
0.0,640,279.800925
0.0,640,280.043372
0.0,640,280.295836
0.0,640,283.057837
0.0,640,283.3077
0.0,640,283.555301
0.0,640,286.233994
0.0,640,286.476369
0.0,640,286.751644
0.0,640,289.672591
0.0,640,289.922703
0.0,640,290.174717
0.0,640,292.972195
0.0,640,293.218456
0.0,640,293.472396
0.0,640,296.304869
0.0,640,296.54856
0.0,640,296.932353
0.0,640,297.190756
0.0,640,300.073387
0.0,640,300.324585
0.0,640,300.567974
0.0,640,303.307593
0.0,640,303.561218
0.0,640,303.868339
0.0,640,306.901318
0.0,640,307.176892
0.0,640,307.434
0.0,640,310.328283
0.0,640,310.57219
0.0,640,310.819602
0.0,640,313.469627
0.0,640,313.712995
0.0,640,313.954249
0.0,640,314.196905
0.0,640,316.965734
0.0,640,317.208922
0.0,640,317.452302
0.0,640,320.342932
0.0,640,320.61937
0.0,640,320.85658
0.0,640,323.558704
0.0,640,323.806418
0.0,640,324.047221
0.0,640,326.75926
0.0,640,326.998806
0.0,640,327.265777
0.0,640,330.142929
0.0,640,330.388397
0.0,640,330.631242
0.0,640,330.871187
0.0,640,333.66367
0.0,640,333.905407
0.0,640,334.15021
0.0,640,336.761606
0.0,640,337.006523
0.0,640,337.24848
0.0,640,339.794702
0.0,640,340.039733
0.0,640,340.327606
0.0,640,343.030109
0.0,640,343.273542
0.0,640,343.514702
0.0,640,346.072822
0.0,640,346.3188
0.0,640,346.559677
0.0,640,346.842035
0.0,640,349.877386
0.0,640,350.123327
0.0,640,350.366452
0.0,640,353.199215
0.0,640,353.455283
0.0,640,353.717144
0.0,640,356.310862
0.0,640,356.554213
0.0,640,356.805799
0.0,640,359.548098
0.0,640,359.79226
0.0,640,360.034324
0.0,640,362.72821
0.0,640,362.97897
0.0,640,363.224999
0.0,640,363.466827
0.0,640,366.266163
0.0,640,366.545171
0.0,640,366.789672
0.0,640,369.421802
0.0,640,369.666655
0.0,640,369.907299
0.0,640,372.488968
0.0,640,372.732066
0.0,640,372.973543
0.0,640,375.619688
0.0,640,375.869762
0.0,640,376.118714
0.0,640,378.931284
0.0,640,379.177104
0.0,640,379.418955
0.0,640,379.6588
0.0,640,382.3397
0.0,640,382.586547
0.0,640,382.83089
0.0,640,385.500407
0.0,640,385.743858
0.0,640,385.988882
0.0,640,388.698528
0.0,640,388.94279
0.0,640,389.188976
0.0,640,391.845846
0.0,640,392.090186
0.0,640,392.333578
0.0,640,394.902966
0.0,640,395.148626
0.0,640,395.416784
0.0,640,395.683603
0.0,640,398.510998
0.0,640,398.774264
0.0,640,399.025861
0.0,640,401.798816
0.0,640,402.069074
0.0,640,402.328147
0.0,640,405.035442
0.0,640,405.280588
0.0,640,405.525657
0.0,640,408.249859
0.0,640,408.519478
0.0,640,408.764955
0.0,640,411.553188
0.0,640,411.818884
0.0,640,412.102696
0.0,640,412.387081
0.0,640,415.224207
0.0,640,415.478321
0.0,640,415.737683
0.0,640,418.79812
0.0,640,419.049059
0.0,640,419.296545
0.0,640,422.27042
0.0,640,422.523321
0.0,640,422.773243
0.0,640,425.953399
0.0,640,426.218909
0.0,640,426.484069
0.0,640,429.311246
0.0,640,429.556671
0.0,640,429.795688
0.0,640,430.048054
0.0,640,432.69535
0.0,640,432.956799
0.0,640,433.221052
0.0,640,436.128068
0.0,640,436.386166
0.0,640,436.629493
0.0,640,439.492244
0.0,640,439.75495
0.0,640,440.007185
0.0,640,442.88039
0.0,640,443.154707
0.0,640,443.436657
0.0,640,446.165686
0.0,640,446.412986
0.0,640,446.65967
0.0,640,446.933117
0.0,640,449.566878
0.0,640,449.81296
0.0,640,450.05948
0.0,640,452.814998
0.0,640,453.082478
0.0,640,453.33882
0.0,640,456.091839
0.0,640,456.372496
0.0,640,456.649121
0.0,640,459.38704
0.0,640,459.631169
0.0,640,459.913727
0.0,640,462.592252
0.0,640,462.840711
0.0,640,463.084423
0.0,640,463.327759
0.0,640,465.93868
0.0,640,466.1866
0.0,640,466.4382
0.0,640,469.046182
